trial_number,stimulus_number,allocation,trial_failed,failure_reason,total_stimuli,detected_stimuli,total_responses,aligned_responses,mean_asynchrony,sd_asynchrony,percent_responses,percent_responses_aligned,mean_stimulus_ioi,mean_response_ioi,num_markers,detected_markers,marker_detection_rate,max_marker_error,percent_bad_taps,mean_async_played,sd_async_played,percent_resp_played,mean_async_notplayed,sd_async_notplayed,percent_resp_notplayed
1,1,simple-stimulus1-rightear,False,All good,8,8,8,8,8.778409090909008,21.54688619020849,100.0,99.9987500156248,445.7142857142857,446.49142857142857,6,6,Good,1.363636363636033,0,8.778409090909008,21.54688619020849,99.9987500156248,999.0,999.0,0.0
2,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-41.84659090909068,51.99424802053656,100.0,99.9987500156248,445.7142857142857,465.7799999999999,6,6,Good,0.7044939187799173,0,-41.84659090909068,51.99424802053656,99.9987500156248,999.0,999.0,0.0
3,1,simple-stimulus1-rightear,False,All good,8,8,8,8,3.920454545454305,29.167324618710328,100.0,99.9987500156248,445.7142857142857,439.1885714285714,6,6,Good,1.3863121005979335,0,3.920454545454305,29.167324618710328,99.9987500156248,999.0,999.0,0.0
4,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-29.0625,18.469820389966035,100.0,99.9987500156248,445.7142857142857,451.17,6,6,Good,0.7044939187799173,0,-29.0625,18.469820389966035,99.9987500156248,999.0,999.0,0.0
5,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-38.522727272727295,23.292682761930617,100.0,99.9987500156248,445.7142857142857,453.79857142857145,6,6,Good,1.340960626674132,0,-38.522727272727295,23.292682761930617,99.9987500156248,999.0,999.0,0.0
6,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-5.539772727272521,33.878493061189964,100.0,99.9987500156248,445.7142857142857,435.09857142857135,6,6,Good,1.3863121005979335,0,-5.539772727272521,33.878493061189964,99.9987500156248,999.0,999.0,0.0
7,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-7.840909090908809,26.62439616356341,100.0,99.9987500156248,445.7142857142857,433.9285714285714,6,6,Good,1.5682333539480169,0,-7.840909090908809,26.62439616356341,99.9987500156248,999.0,999.0,0.0
8,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-6.562499999999744,28.279576939005995,100.0,99.9987500156248,445.7142857142857,435.0971428571429,6,6,Good,1.3863121005979335,0,-6.562499999999744,28.279576939005995,99.9987500156248,999.0,999.0,0.0
9,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-23.69318181818153,36.68549850581057,100.0,99.9987500156248,445.7142857142857,463.4442857142857,6,6,Good,0.7044939187799173,0,-23.69318181818153,36.68549850581057,99.9987500156248,999.0,999.0,0.0
10,1,simple-stimulus1-rightear,False,All good,8,8,8,8,3.4090909090911907,16.642975586223553,100.0,99.9987500156248,445.7142857142857,442.69428571428574,6,6,Good,1.5682333539480169,0,3.4090909090911907,16.642975586223553,99.9987500156248,999.0,999.0,0.0
11,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-7.329545454545695,18.18705535368532,100.0,99.9987500156248,445.7142857142857,444.4485714285714,6,6,Good,1.8181818181819835,0,-7.329545454545695,18.18705535368532,99.9987500156248,999.0,999.0,0.0
12,1,simple-stimulus1-rightear,False,All good,8,8,8,8,-17.045454545454703,31.86238812235377,100.0,99.9987500156248,445.7142857142857,436.2657142857143,6,6,Good,1.8181818181819835,0,-17.045454545454703,31.86238812235377,99.9987500156248,999.0,999.0,0.0
1,2,simple-stimulus1-rightear,False,All good,9,9,9,9,3.005050505050185,20.844701520321127,100.0,99.99888890123444,390.0,381.4775,6,6,Good,0.7044939187799173,0,3.005050505050185,20.844701520321127,99.99888890123444,999.0,999.0,0.0
2,2,simple-stimulus1-rightear,False,All good,9,9,9,9,8.686868686868529,21.16791328886245,100.0,99.99888890123444,390.0,391.1925,6,6,Good,1.363636363636033,0,8.686868686868529,21.16791328886245,99.99888890123444,999.0,999.0,0.0
3,2,simple-stimulus1-rightear,False,All good,9,9,9,9,-0.6313131313130687,21.84546320933292,100.0,99.99888890123444,390.0,387.86875,6,6,Good,0.7044939187799173,0,-0.6313131313130687,21.84546320933292,99.99888890123444,999.0,999.0,0.0
4,2,simple-stimulus1-rightear,False,All good,9,9,9,9,9.595959595959718,27.33426932184667,100.0,99.99888890123444,390.0,377.38625,6,6,Good,0.7044939187799173,0,9.595959595959718,27.33426932184667,99.99888890123444,999.0,999.0,0.0
5,2,simple-stimulus1-rightear,False,All good,9,9,9,9,-5.631313131312984,29.314516601562985,100.0,99.99888890123444,390.0,400.3975,6,6,Good,1.8181818181815288,0,-5.631313131312984,29.314516601562985,99.99888890123444,999.0,999.0,0.0
6,2,simple-stimulus1-rightear,False,All good,9,9,9,9,10.959595959595667,40.88155327059575,100.0,99.99888890123444,390.0,403.20875,6,6,Good,1.8181818181819835,0,10.959595959595667,40.88155327059575,99.99888890123444,999.0,999.0,0.0
7,2,simple-stimulus1-rightear,False,All good,9,9,9,9,14.14141414141404,25.47703231528989,100.0,99.99888890123444,390.0,400.14125,6,6,Good,0.7044939187799173,0,14.14141414141404,25.47703231528989,99.99888890123444,999.0,999.0,0.0
